ro.build.id,ro.build.display.id,ro.product.name,ro.product.device,ro.product.board,ro.product.manufacturer,ro.product.brand,ro.product.model,ro.bootloader,ro.hardware,ro.build.type,ro.build.tags,ro.build.fingerprint,ro.build.user,ro.build.host,ro.build.version.incremental,ro.build.version.release,ro.build.version.sdk,ro.build.version.codename,screen.height,screen.width,screen.density,screen.xdpi,screen.ydpi,screen.dpi,screen.scaledDensity
QP1A.190711.020,RMX2020_11_A.67,RMX2020RU,RMX2020,oppo6769,realme,realme,RMX2020,unknown,mt6768,user,release-keys,realme/RMX2020RU/RMX2020:10/QP1A.190711.020/1631243641:user/release-keys,root,Ubuntu-143-29,1631243641,10,29,REL,1469,720,1.70,0.0000,0.0000,0,0.00
RP1A.200720.011,RMX2155_11_C.13,RMX2155RU,RMX2155L1,RM6785,realme,realme,RMX2155,unknown,mt6785,user,release-keys,realme/RMX2155RU/RMX2155L1:11/RP1A.200720.011/1634016814409:user/release-keys,root,ubuntu-9-142,1634016814409,11,30,REL,2153,1080,3.00,0.0000,0.0000,0,0.00
QP1A.190711.020,QP1A.190711.020.A305FNPUS6BUD3,a30ser,a30,exynos7904,samsung,samsung,SM-A305FN,A305FNPUS6BUD3,exynos7904,user,release-keys,samsung/a30ser/a30:10/QP1A.190711.020/A305FNPUS6BUD3:user/release-keys,dpi,SWDH4603,A305FNPUS6BUD3,10,29,REL,2131,1080,2.62,0.0000,0.0000,0,0.00
RP1A.200720.012,RP1A.200720.012.A415FXXU1CUH2,a41ser,a41,k68v1_64_titan,samsung,samsung,SM-A415F,A415FXXU1CUH2,mt6768,user,release-keys,samsung/a41ser/a41:11/RP1A.200720.012/A415FXXU1CUH2:user/release-keys,dpi,VPDJR1012,A415FXXU1CUH2,11,30,REL,2184,1080,2.62,0.0000,0.0000,0,0.00
QKQ1.200830.002,Android-Q-build-20211010190217,citrus_eea,citrus,citrus,Xiaomi,POCO,M2010J19CG,unknown,qcom,user,release-keys,POCO/citrus_eea/citrus:10/QKQ1.200830.002/V12.0.11.0.QJFEUXM:user/release-keys,builder,c5-miui-ota-bd041.bj,V12.0.11.0.QJFEUXM,10,29,REL,2132,1080,2.75,0.0000,0.0000,0,0.00
RP1A.200720.012,RP1A.200720.012.A715FXXU6BUH1,a71naeea,a71,sm6150,samsung,samsung,SM-A715F,A715FXXU6BUH1,qcom,user,release-keys,samsung/a71naeea/a71:11/RP1A.200720.012/A715FXXU6BUH1:user/release-keys,dpi,21DJFB13,A715FXXU6BUH1,11,30,REL,2183,1080,2.62,0.0000,0.0000,0,0.00
QKQ1.191014.001,QKQ1.191014.001 test-keys,olivelite,olivelite,QC_Reference_Phone,Xiaomi,Xiaomi,Redmi 8A,unknown,qcom,user,release-keys,Xiaomi/olivelite/olivelite:10/QKQ1.191014.001/V12.5.1.0.QCPMIXM:user/release-keys,builder,c5-miui-ota-bd178.bj,V12.5.1.0.QCPMIXM,10,29,REL,1387,720,1.60,0.0000,0.0000,0,0.00
QP1A.190711.020,OUKITEL_WP5Pro_EEA_V15_20210918,WP5_Pro_EEA,WP5_Pro,d937d,OUKITEL,OUKITEL,WP5 Pro,unknown,mt6762,user,release-keys,OUKITEL/WP5_Pro_EEA/WP5_Pro:10/QP1A.190711.020/20201208:user/release-keys,feserver,v121,20201208,10,29,REL,1344,720,2.00,0.0000,0.0000,0,0.00
HONORHRY-L21,HRY-LX1 10.0.0.221(C10E4R2P2),HRY-LX1RU,HWHRY-H,HRY-L21,HUAWEI,HONOR,HRY-LX1,unknown,kirin710,user,release-keys,HONOR/HRY-LX1RU/HWHRY-H:10/HONORHRY-L21/10.0.0.221C10:user/release-keys,test,cn-central-1b-08c0c14c51596708610560-2051439213-275jk,10.0.0.221C10,10,29,REL,2139,1080,2.55,0.0000,0.0000,0,0.00
QP1A.190711.020,QP1A.190711.020.A750FNPUU5CUH2,a7y18lteser,a7y18lte,exynos7885,samsung,samsung,SM-A750FN,A750FNPUU5CUH2,exynos7885,user,release-keys,samsung/a7y18lteser/a7y18lte:10/QP1A.190711.020/A750FNPUU5CUH2:user/release-keys,dpi,VPDJR204,A750FNPUU5CUH2,10,29,REL,2094,1080,2.62,0.0000,0.0000,0,0.00
