ro.build.id,ro.build.display.id,ro.product.name,ro.product.device,ro.product.board,ro.product.manufacturer,ro.product.brand,ro.product.model,ro.bootloader,ro.hardware,ro.build.type,ro.build.tags,ro.build.fingerprint,ro.build.user,ro.build.host,ro.build.version.incremental,ro.build.version.release,ro.build.version.sdk,ro.build.version.codename,screen.height,screen.width,screen.density,screen.xdpi,screen.ydpi,screen.dpi,screen.scaledDensity
PPR1.180610.011,PPR1.180610.011.G950FXXS6DSL2,dreamltexx,dreamlte,universal8895,samsung,samsung,SM-G950F,G950FXXS6DSL2,samsungexynos8895,user,release-keys,samsung/dreamltexx/dreamlte:9/PPR1.180610.011/G950FXXS6DSL2:user/release-keys,dpi,SWDH2519,G950FXXS6DSL2,9,28,REL,2076,1080,3.00,422.0302,423.9698,480,3.00
RKQ1.210420.001,RKQ1.210420.001,mdh15lm_f,mdh15lm,mt6765,LGE,lge,LM-K410,unknown,mdh15lm,user,release-keys,lge/mdh15lm_f/mdh15lm:11/RKQ1.210420.001/222371006a5f6:user/release-keys,jenkins,si-ch1-bld118,222371006a5f6,11,30,REL,1449,720,1.75,268.9410,269.1390,280,1.57
QKQ1.190828.002,QKQ1.190828.002 test-keys,beryllium,beryllium,sdm845,Xiaomi,Xiaomi,POCO F1,unknown,qcom,user,release-keys,Xiaomi/beryllium/beryllium:10/QKQ1.190828.002/V12.0.3.0.QEJMIXM:user/release-keys,builder,c4-miui-ota-bd48.bj,V12.0.3.0.QEJMIXM,10,29,REL,2027,1080,2.75,403.4110,419.4730,440,3.44
RP1A.200720.011,RP1A.200720.011,lancelot_global,lancelot,lancelot,Xiaomi,Redmi,M2004J19C,unknown,mt6768,user,release-keys,Redmi/lancelot_global/lancelot:11/RP1A.200720.011/V12.5.6.0.RJCMIXM:user/release-keys,builder,m1-xm-ota-bd014.bj.idc.xiaomi.com,V12.5.6.0.RJCMIXM,11,30,REL,2134,1080,2.75,394.7160,394.7160,440,2.53
RKQ1.201004.002,00WW_2_290_SP02,CaptainAmerica_00WW,CAP_sprout,SM6125,HMD Global,Nokia,Nokia 5.3,unknown,qcom,user,release-keys,Nokia/CaptainAmerica_00WW/CAP_sprout:11/RKQ1.201004.002/00WW_2_29C:user/release-keys,ci,Cocoon_192-168-40-32_19163_docker,00WW_2_290_SP02,11,30,REL,1517,720,1.75,261.2570,269.1390,280,1.75
HUAWEISTK-L21,STK-L21M 10.0.0.274(C185E3R6P1),STK-L21M,HWSTK-HF,STK-L21M,HUAWEI,HUAWEI,STK-L21,unknown,kirin710,user,release-keys,HUAWEI/STK-L21M/HWSTK-HF:10/HUAWEISTK-L21/10.0.0.274C185:user/release-keys,test,cn-central-1b-ea69152e91596071562952-3077798529-s3v8n,10.0.0.274C185,10,29,REL,2224,1080,3.00,391.8850,391.0260,480,3.00
SP1A.210812.003,SP1A.210812.003 release-keys,2020,2120,k65v1_32_bsp_2g_ago,vivo,vivo,V2120,unknown,mt6765,user,release-keys,vivo/2020/2120:12/SP1A.210812.003/compiler07051517:user/release-keys,compiler,comsz01110059,compiler07051517,12,31,REL,1475,720,1.88,269.2100,269.2100,300,1.88
SP1A.210812.016,CPH2201_11_C.27,CPH2201,OP4F1FL1,k6889v1_64,OPPO,OPPO,CPH2201,unknown,mt6889,user,release-keys,OPPO/CPH2201/OP4F1FL1:12/SP1A.210812.016/R.202207282035:user/release-keys,root,dg02-pool03-kvm26,R.202207282035,12,31,REL,2161,1080,3.00,409.4320,409.1270,480,3.00
QKQ1.191014.001,QKQ1.191014.001 test-keys,olive,olive,QC_Reference_Phone,Xiaomi,Xiaomi,Redmi 8,unknown,qcom,user,release-keys,Xiaomi/olive/olive:10/QKQ1.191014.001/V12.5.3.0.QCNMIXM:user/release-keys,builder,c5-miui-ota-bd170.bj,V12.5.3.0.QCNMIXM,10,29,REL,1369,720,2.00,268.9410,269.9860,320,2.00
HUAWEISTK-L21,STK-L21M 10.0.0.274(C185E3R6P1),STK-L21M,HWSTK-HF,STK-L21M,HUAWEI,HUAWEI,STK-L21,unknown,kirin710,user,release-keys,HUAWEI/STK-L21M/HWSTK-HF:10/HUAWEISTK-L21/10.0.0.274C185:user/release-keys,test,cn-central-1b-ea69152e91596071562952-3077798529-s3v8n,10.0.0.274C185,10,29,REL,2224,1080,3.00,391.8850,391.0260,480,3.90
PGR1.190916.001,gce_x86_phone-userdebug 9 PGR1.190916.001 5877764 test-keys,gce_x86_phone,gce_x86,unknown,unknown,generic,GCE x86 phone,unknown,gce_x86,userdebug,test-keys,generic/gce_x86_phone/gce_x86:9/PGR1.190916.001/5877764:userdebug/test-keys,android-build,abfarm-us-central1-c-0047,5877764,9,28,REL,1788,1080,2.76,441.0000,441.0000,441,2.76
SP1A.210812.016,RMX3430_11_C.08,RMX3430,RED8AF,RM6769,realme,realme,RMX3430,unknown,mt6768,user,release-keys,realme/RMX3430/RED8AF:12/SP1A.210812.016/R.202208031202:user/release-keys,root,dg02-pool03-kvm217,R.202208031202,12,31,REL,1448,720,2.00,269.2180,269.2100,320,2.00
SP1A.210812.016,SP1A.210812.016.A315FXXU1DVG8,a31xx,a31,a31,samsung,samsung,SM-A315F,A315FXXU1DVG8,mt6768,user,release-keys,samsung/a31xx/a31:12/SP1A.210812.016/A315FXXU1DVG8:user/release-keys,dpi,VPDJR104,A315FXXU1DVG8,12,31,REL,2195,1080,2.62,409.4320,411.8910,420,2.89
SP1A.210812.016,CPH2325_11_C.28,CPH2325,OP5303,k65v1_64_bsp,OPPO,OPPO,CPH2325,unknown,mt6765,user,release-keys,OPPO/CPH2325/OP5303:12/SP1A.210812.016/R.202209022300:user/release-keys,root,dg02-pool03-kvm307,R.202209022300,12,31,REL,1440,720,2.00,269.2100,269.2100,320,2.00
PPR1.180610.011,SW_S98507AE1_V009_M13_XM_C3D_USR,cereus,cereus,cereus,Xiaomi,xiaomi,Redmi 6,unknown,mt6765,user,release-keys,xiaomi/cereus/cereus:9/PPR1.180610.011/V11.0.5.0.PCGMIXM:user/release-keys,builder,mi-server,V11.0.5.0.PCGMIXM,9,28,REL,1344,720,2.00,295.5390,295.5150,320,2.00
RP1A.201005.001,RMX3231_11.A.91,RMX3231,RMX3231,RMX3231,realme,realme,RMX3231,unknown,RMX3231,user,release-keys,realme/RMX3231/RMX3231:11/RP1A.201005.001/1660889834066:user/release-keys,zhangminmin_hq,ubuntu16-29-248,363,11,30,REL,720,1440,2.00,268.9410,269.1390,320,2.00
RP1A.201005.001,RMX3231_11.A.91,RMX3231,RMX3231,RMX3231,realme,realme,RMX3231,unknown,RMX3231,user,release-keys,realme/RMX3231/RMX3231:11/RP1A.201005.001/1660889834066:user/release-keys,zhangminmin_hq,ubuntu16-29-248,363,11,30,REL,1448,720,2.00,268.9410,269.1390,320,2.00
RP1A.201005.001,RMX3261_11_A.93,RMX3261,RMX3261,RMX3261,realme,realme,RMX3261,unknown,S19610AA1,user,release-keys,realme/RMX3261/RMX3261:11/RP1A.201005.001/1662134708000:user/release-keys,root,ubuntu-26-24,1662134708000,11,30,REL,1448,720,2.00,268.9410,269.1390,320,2.00
RP1A.200720.011,RP1A.200720.011,lancelot_global,lancelot,lancelot,Xiaomi,Redmi,M2004J19C,unknown,mt6768,user,release-keys,Redmi/lancelot_global/lancelot:11/RP1A.200720.011/V12.5.6.0.RJCMIXM:user/release-keys,builder,m1-xm-ota-bd014.bj.idc.xiaomi.com,V12.5.6.0.RJCMIXM,11,30,REL,2134,1080,2.75,394.7160,394.7160,440,3.66
RP1A.200720.012,RP1A.200720.012.M515FXXS3CUI1,m51nsxx,m51,sm6150,samsung,samsung,SM-M515F,M515FXXS3CUI1,qcom,user,release-keys,samsung/m51nsxx/m51:11/RP1A.200720.012/M515FXXS3CUI1:user/release-keys,dpi,21DJ7C04,M515FXXS3CUI1,11,30,REL,2183,1080,2.62,391.8850,393.2900,420,2.89
SP1A.210812.016,SP1A.210812.016.A235FXXU1AVF3,a23nsxx,a23,bengal,samsung,samsung,SM-A235F,A235FXXU1AVF3,qcom,user,release-keys,samsung/a23nsxx/a23:12/SP1A.210812.016/A235FXXU1AVF3:user/release-keys,dpi,21DJF817,A235FXXU1AVF3,12,31,REL,2199,1080,2.81,403.4110,402.3890,450,2.25
QKQ1.200830.002,Android-Q-build-20210930014837,citrus_global,citrus,citrus,Xiaomi,POCO,M2010J19CG,unknown,qcom,user,release-keys,POCO/citrus_global/citrus:10/QKQ1.200830.002/V12.0.11.0.QJFMIXM:user/release-keys,builder,c5-miui-ota-bd041.bj,V12.0.11.0.QJFMIXM,10,29,REL,2132,1080,2.75,422.0300,460.7440,440,2.75
SP1A.210812.016,SP1A.210812.016.A725FXXU4BVG1,a72qnsxx,a72q,atoll,samsung,samsung,SM-A725F,A725FXXU4BVG1,qcom,user,release-keys,samsung/a72qnsxx/a72q:12/SP1A.210812.016/A725FXXU4BVG1:user/release-keys,dpi,21DKG922,A725FXXU4BVG1,12,31,REL,2179,1080,2.81,391.8850,393.2900,450,3.66
RP1A.200720.012,RP1A.200720.012 release-keys,2036i,2036,bengal,vivo,vivo,V2036,unknown,qcom,user,release-keys,vivo/2036i/2036:11/RP1A.200720.012/compiler12171836:user/release-keys,compiler,comsz01078094,eng.compil.20211217.183632,11,30,REL,2225,1080,2.75,403.4110,402.3890,440,2.75
RP1A.200720.012,RP1A.200720.012.A207FXXU3CVG2,a20sxx,a20s,msm8953,samsung,samsung,SM-A207F,A207FXXU3CVG2,qcom,user,release-keys,samsung/a20sxx/a20s:11/RP1A.200720.012/A207FXXU3CVG2:user/release-keys,dpi,21DJFA18,A207FXXU3CVG2,11,30,REL,1422,720,1.75,265.0430,264.1600,280,2.27
SP1A.210812.016,SP1A.210812.016,pissarropro_global,pissarropro,pissarropro,Xiaomi,Redmi,21091116UG,unknown,mt6877,user,release-keys,Redmi/pissarropro_global/pissarropro:12/SP1A.210812.016/V13.0.2.0.SKTMIXM:user/release-keys,builder,m1-xm-ota-bd273.bj.idc.xiaomi.com,V13.0.2.0.SKTMIXM,12,31,REL,2190,1080,2.75,394.7050,394.3070,440,2.75
RP1A.200720.012,RP1A.200720.012.A715FXXU3BUB5,a71naxx,a71,sm6150,samsung,samsung,SM-A715F,A715FXXU3BUB5,qcom,user,release-keys,samsung/a71naxx/a71:11/RP1A.200720.012/A715FXXU3BUB5:user/release-keys,dpi,21DJF710,A715FXXU3BUB5,11,30,REL,2183,1080,2.62,391.8850,393.2900,420,2.89
RKQ1.200826.002,RKQ1.200826.002 test-keys,phoenix,phoenix,phoenix,Xiaomi,Redmi,Redmi K30,unknown,qcom,user,release-keys,Redmi/phoenix/phoenix:11/RKQ1.200826.002/V12.5.6.0.RGHCNXM:user/release-keys,builder,c3-xm-ota-bd012.bj,V12.5.6.0.RGHCNXM,11,30,REL,2175,1080,2.75,391.8850,395.8440,440,2.75
RKQ1.201217.002,RMX3142_11_A.13,RMX3142,RE811C,lito,realme,realme,RMX3142,unknown,qcom,user,release-keys,realme/RMX3142/RE811C:11/RKQ1.201217.002/1624847746935:user/release-keys,Errors,D.N.A-Linux@x86_64,1624847746935,11,30,REL,2161,1080,3.00,409.4320,409.1270,480,3.45
RP1A.200720.012,RP1A.200720.012.A525FXXU4AUH3,a52qnsxx,a52q,atoll,samsung,samsung,SM-A525F,A525FXXU4AUH3,qcom,user,release-keys,samsung/a52qnsxx/a52q:11/RP1A.200720.012/A525FXXU4AUH3:user/release-keys,dpi,21DJF808,A525FXXU4AUH3,11,30,REL,2186,1080,2.62,409.4320,406.4000,420,2.89
RKQ1.201217.002,CPH2223_11_A.04,CPH2223,OP4F11L1,bengal,OPPO,OPPO,CPH2223,unknown,qcom,user,release-keys,OPPO/CPH2223/OP4F11L1:11/RKQ1.201217.002/1632582968725:user/release-keys,root,ubuntu-10-78,1632582968725,11,30,REL,2161,1080,3.00,409.4320,409.1270,480,3.00
SP1A.210812.003,SP1A.210812.003 release-keys,2110i,2110,k69v1_64,vivo,vivo,V2152,unknown,mt6768,user,release-keys,vivo/2110i/2110:12/SP1A.210812.003/compiler08020008:user/release-keys,compiler,comsz01110061,compiler08020008,12,31,REL,1475,720,1.88,269.2100,269.2100,300,1.88
RKQ1.211119.001,LE2101_11_C.35,OnePlus9R_IND,OnePlus9R,kona,OnePlus,OnePlus,LE2101,unknown,qcom,user,release-keys,OnePlus/OnePlus9R_IND/OnePlus9R:12/RKQ1.211119.001/R.202208261328:user/release-keys,root,dg02-pool03-kvm256,R.202208261328,12,31,REL,2165,1080,3.00,391.8850,403.7080,480,3.00
SKQ1.210216.001,CPH2195_11_C.47,CPH2195EEA,OP4F39L1,holi,OPPO,OPPO,CPH2195,unknown,qcom,user,release-keys,OPPO/CPH2195EEA/OP4F39L1:12/SKQ1.210216.001/R.202209091065:user/release-keys,root,dg02-pool03-kvm212,R.202209091065,12,31,REL,2158,1080,3.00,403.4110,406.4000,480,3.00
HUAWEIFIG-L31,FIG-LX1 9.1.0.216(C432E22R1P5),FIG-LX1,HWFIG-H,FIG-L31,HUAWEI,HUAWEI,FIG-LX1,unknown,hi6250,user,release-keys,HUAWEI/FIG-LX1/HWFIG-H:9/HUAWEIFIG-L31/9.1.0.216C432:user/release-keys,test,cn-west-3b-31d4046b61594277896911-65b7bf6b7c-hwwk6,9.1.0.216C432,9,28,REL,2032,1080,3.00,428.6250,428.6250,480,3.00
RP1A.200720.011,RP1A.200720.011,begonia,begonia,begonia,Xiaomi,Redmi,Redmi Note 8 Pro,unknown,mt6785,user,release-keys,Redmi/begonia/begonia:11/RP1A.200720.011/V12.5.8.0.RGGMIXM:user/release-keys,builder,m1-xm-ota-bd085.bj.idc.xiaomi.com,V12.5.8.0.RGGMIXM,11,30,REL,2134,1080,2.75,394.7160,394.7160,440,2.75
SP1A.210812.016,SP1A.210812.016.A137FXXU1AVH1,a13vennxx,a13ve,a13ve,samsung,samsung,SM-A137F,A137FXXU1AVH1,mt6768,user,release-keys,samsung/a13vennxx/a13ve:12/SP1A.210812.016/A137FXXU1AVH1:user/release-keys,dpi,21DJ7C12,A137FXXU1AVH1,12,31,REL,2208,1080,2.81,403.4110,399.7590,450,2.81
RP1A.200720.011,AN3516-camellia-build-20220329235035,camellia,camellian,camellia,Xiaomi,Redmi,M2103K19C,unknown,mt6833,user,release-keys,Redmi/camellia/camellia:11/RP1A.200720.011/V12.5.8.0.RKSCNXM:user/release-keys,builder,m1-xm-ota-bd130.bj.idc.xiaomi.com,V12.5.8.0.RKSCNXM,11,30,REL,1080,2167,2.75,405.1030,405.1030,440,2.75
SP1A.210812.016,SP1A.210812.016.A515FXXU5FVG3,a51nsxx,a51,exynos9611,samsung,samsung,SM-A515F,A515FXXU5FVG3,exynos9611,user,release-keys,samsung/a51nsxx/a51:12/SP1A.210812.016/A515FXXU5FVG3:user/release-keys,dpi,21DK7A09,A515FXXU5FVG3,12,31,REL,2186,1080,2.62,409.4320,406.4000,420,3.94
RKQ1.201022.002,RKQ1.201022.002 test-keys,sunny_ru,sunny,sunny,Xiaomi,Redmi,M2101K7AG,unknown,qcom,user,release-keys,Redmi/sunny_ru/sunny:11/RKQ1.201022.002/V12.5.6.0.RKGRUXM:user/release-keys,builder,c3-xm-ota-bd023.bj,V12.5.6.0.RKGRUXM,11,30,REL,2177,1080,2.75,409.4320,409.1270,440,2.75
QP1A.190711.020,X682C-H694CD-Q-GL-220308V355,X682C-GL,Infinix-X682C,Infinix-X682C,INFINIX MOBILITY LIMITED,Infinix,Infinix X682C,unknown,mt6769,user,release-keys,Infinix/X682C-GL/Infinix-X682C:10/QP1A.190711.020/220308V355:user/release-keys,buildsrv-ci,buildsrv-93,220308V355,10,29,REL,1464,720,2.00,264.1700,264.1700,320,2.00
HONORNTH-N29,NTH-N29 6.0.0.150(C185E3R3P2),NTH-NX9,HNNTH,NTH,HONOR,HONOR,NTH-NX9,unknown,qcom,user,release-keys,HONOR/NTH-NX9/HNNTH:12/HONORNTH-N29/6.0.0.150C185E3R3P2:user/release-keys,test,cn-snxy1c-8f4e441a91655297844316-797cb864c6-qp2w5,6.0.0.150C185E3R3P2,12,31,REL,2238,1080,3.00,391.8850,391.0260,480,3.00
RP1A.200720.011,CPH2349_11_A.15,CPH2349T2,OP5321,oppo6765,OPPO,OPPO,CPH2349,unknown,mt6765,user,release-keys,OPPO/CPH2349T2/OP5321:11/RP1A.200720.011/1662469991862:user/release-keys,root,dg02-pool03-kvm534,1662469991862,11,30,REL,1456,720,2.00,269.2180,269.2100,320,2.00
RP1A.200720.012,RP1A.200720.012 release-keys,2026E,2026,k65v1_64_bsp,vivo,vivo,V2026,unknown,mt6765,user,release-keys,vivo/2026E/2026:11/RP1A.200720.012/compiler0620160751:user/release-keys,compiler,comsz01078161,eng.compil.20220620.161126,11,30,REL,1475,720,1.88,269.2100,269.2100,300,1.88
QP1A.190711.020,CPH2179_11_A.51,CPH2179,OP4F2F,oppo6765,OPPO,OPPO,CPH2179,unknown,mt6765,user,release-keys,OPPO/CPH2179/OP4F2F:10/QP1A.190711.020/1659343474:user/release-keys,root,Ubuntu-134-11,1659343474,10,29,REL,1456,720,2.00,269.2180,269.2100,320,2.00
RP1A.200720.012,RP1A.200720.012 release-keys,2111i,2111,k65v1_64_bsp,vivo,vivo,V2111,unknown,mt6765,user,release-keys,vivo/2111i/2111:11/RP1A.200720.012/compiler0314233827:user/release-keys,compiler,comsz01078190,eng.compil.20220314.234223,11,30,REL,1475,720,1.88,269.2100,269.2100,300,1.88
RKQ1.200826.002,RKQ1.200826.002 test-keys,curtana_in1,curtana,curtana,Xiaomi,Redmi,Redmi Note 10 Lite,unknown,qcom,user,release-keys,Redmi/curtana_in1/curtana:11/RKQ1.200826.002/V12.5.9.0.RJWINRF:user/release-keys,builder,c4-miui-ota-bd133.bj,V12.5.9.0.RJWINRF,11,30,REL,2168,1080,2.75,397.5650,395.8440,440,2.75
RP1A.200720.012,RP1A.200720.012.A226BXXU3AUJ2,a22xnnxx,a22x,S96801AA1,samsung,samsung,SM-A226B,A226BXXU3AUJ2,mt6833,user,release-keys,samsung/a22xnnxx/a22x:11/RP1A.200720.012/A226BXXU3AUJ2:user/release-keys,dpi,21HH1G06,A226BXXU3AUJ2,11,30,REL,2208,1080,2.81,403.4110,402.3890,450,2.81
RP1A.201005.001,RMX3231_11.A.91,RMX3231,RMX3231,RMX3231,realme,realme,RMX3231,unknown,RMX3231,user,release-keys,realme/RMX3231/RMX3231:11/RP1A.201005.001/1660889834066:user/release-keys,zhangminmin_hq,ubuntu16-29-248,363,11,30,REL,1448,720,2.00,268.9410,269.1390,320,2.30
SP1A.210812.016,SP1A.210812.016.A315FXXU1DVG8,a31xx,a31,a31,samsung,samsung,SM-A315F,A315FXXU1DVG8,mt6768,user,release-keys,samsung/a31xx/a31:12/SP1A.210812.016/A315FXXU1DVG8:user/release-keys,dpi,VPDJR104,A315FXXU1DVG8,12,31,REL,2195,1080,2.62,409.4320,411.8910,420,2.36
PKQ1.190504.001,PKQ1.190504.001 release-keys,LT,LT,QC_Reference_Phone,LT,LT,C3600,unknown,qcom,user,release-keys,LT/LT/LT:9/PKQ1.190504.001/L1643.6.01.01:user/release-keys,root,ubuntu1404gerrit1backup,L1643.6.01.01,9,28,REL,1379,720,2.00,268.9410,271.8870,320,2.20
QKQ1.191008.001,QKQ1.191008.001,onc,onc,msm8953,Xiaomi,xiaomi,Redmi 7,unknown,qcom,user,release-keys,xiaomi/onc/onc:10/QKQ1.191008.001/V11.0.2.0.QFLMIXM:user/release-keys,builder,c5-miui-ota-bd18.bj,V11.0.2.0.QFLMIXM,10,29,REL,1369,720,2.00,281.3530,279.7680,320,2.00
QP1A.190711.020,AL2522-Merlin-V101-Q-0517,merlin_global,merlin,merlin,Xiaomi,Redmi,M2003J15SC,unknown,mt6769z,user,release-keys,Redmi/merlin_global/merlin:10/QP1A.190711.020/V12.0.8.0.QJOMIXM:user/release-keys,builder,c4-miui-ota-bd62.bj,V12.0.8.0.QJOMIXM,10,29,REL,2110,1080,2.75,394.7160,394.7160,440,2.75
SP1A.210812.016,X6817-H6920ABCDEFHIJ-S-OP-220804V1256,X6817-OP,Infinix-X6817,Infinix-X6817,INFINIX,Infinix,Infinix X6817,unknown,mt6769,user,release-keys,Infinix/X6817-OP/Infinix-X6817:12/SP1A.210812.016/220804V1256:user/release-keys,buildsrv-ci,buildsrv-238,220804V1256,12,31,REL,1472,720,2.00,262.5320,262.5320,320,2.00
SP1A.210812.016,SP1A.210812.016.A515FXXU5FVG3,a51nsxx,a51,exynos9611,samsung,samsung,SM-A515F,A515FXXU5FVG3,exynos9611,user,release-keys,samsung/a51nsxx/a51:12/SP1A.210812.016/A515FXXU5FVG3:user/release-keys,dpi,21DK7A09,A515FXXU5FVG3,12,31,REL,2186,1080,2.62,409.4320,406.4000,420,2.62
RP1A.200720.012,RP1A.200720.012.A217FXXS7CUL3,a21snnxx,a21s,exynos850,samsung,samsung,SM-A217F,A217FXXS7CUL3,exynos850,user,release-keys,samsung/a21snnxx/a21s:11/RP1A.200720.012/A217FXXS7CUL3:user/release-keys,dpi,21DJ7D18,A217FXXS7CUL3,11,30,REL,1448,720,1.75,265.0430,267.3680,280,1.93
SP1A.210812.016,SP1A.210812.016.A225FXXU3BVG4,a22nsxx,a22,a22,samsung,samsung,SM-A225F,A225FXXU3BVG4,mt6769t,user,release-keys,samsung/a22nsxx/a22:12/SP1A.210812.016/A225FXXU3BVG4:user/release-keys,dpi,21DK7A17,A225FXXU3BVG4,12,31,REL,1452,720,1.88,272.9550,274.5940,300,1.88
PPR1.180610.011,PPR1.180610.011.A730FXXU7CUI2,jackpot2ltexx,jackpot2lte,universal7885,samsung,samsung,SM-A730F,A730FXXU7CUI2,samsungexynos7885,user,release-keys,samsung/jackpot2ltexx/jackpot2lte:9/PPR1.180610.011/A730FXXU7CUI2:user/release-keys,dpi,SWDH2822,A730FXXU7CUI2,9,28,REL,2094,1080,2.62,409.4320,408.6080,420,2.10
RP1A.201005.001,RMX3263_11_A.93,RMX3263,RED8D1,RMX3263,realme,realme,RMX3263,unknown,S19610AA1,user,release-keys,realme/RMX3263/RED8D1:11/RP1A.201005.001/1662134708000:user/release-keys,root,ubuntu-26-24,1662134708000,11,30,REL,1448,720,2.00,268.9410,269.1390,320,2.00
HONORBND-L21,BND-L21 9.1.0.174(C185E2R1P2),BND-L21,HWBND-H,BND-L21C,HUAWEI,HONOR,BND-L21,unknown,hi6250,user,release-keys,HONOR/BND-L21/HWBND-H:9/HONORBND-L21/9.1.0.174C185:user/release-keys,test,cn-east-2a-070d455d81594363091351-3888282767-nbtz2,9.1.0.174C185,9,28,REL,1358,720,2.25,409.4320,406.4000,360,2.59
RP1A.200720.011,X663-H6915ABCEFGHIO-R-GL-220822V1169,X663-GL,Infinix-X663,Infinix-X663,INFINIX MOBILITY LIMITED,Infinix,Infinix X663,unknown,mt6769,user,release-keys,Infinix/X663-GL/Infinix-X663:11/RP1A.200720.011/220822V1169:user/release-keys,buildsrv-ci,buildsrv-n91,220822V1169,11,30,REL,2148,1080,3.00,394.3870,394.3890,480,3.00
QKQ1.200209.002,RMX1911EX_11_C.79,RMX1911,RMX1911,trinket,realme,realme,RMX1911,unknown,qcom,user,release-keys,realme/RMX1911/RMX1911:10/QKQ1.200209.002/1642670490:user/release-keys,root,CP-ubuntu-123,1642670490,10,29,REL,1456,720,2.00,268.9410,269.1390,320,2.00
SP1A.210812.016,RMX3085_11_C.12,RMX3085,RMX3085L1,RM6785,realme,realme,RMX3085,unknown,mt6785,user,release-keys,realme/RMX3085/RMX3085L1:12/SP1A.210812.016/R.202208111055:user/release-keys,root,dg02-pool03-kvm128,R.202208111055,12,31,REL,2158,1080,3.00,409.4320,409.1270,480,3.00
SP1A.210812.016,viva-user 12 SP1A.210812.016 V13.0.4.0.SGDMIXM,viva_global,viva,viva,Xiaomi,Redmi,2201116TG,unknown,mt6781,user,release-keys,Redmi/viva_global/viva:12/SP1A.210812.016/V13.0.4.0.SGDMIXM:user/release-keys,builder,c3-xm-ota-bd050.bj,V13.0.4.0.SGDMIXM,12,31,REL,2177,1080,2.75,394.4210,394.4090,440,2.75
QP1A.190711.020,X655C-H6211ABKG-Q-OP-210906V307,X655C-OP,Infinix-X655C,Infinix-X655C,INFINIX MOBILITY LIMITED,Infinix,Infinix X655C,unknown,mt6765,user,release-keys,Infinix/X655C-OP/Infinix-X655C:10/QP1A.190711.020/ABKG-OP-210906V307:user/release-keys,buildsrv-ci,buildsrv-236,ABKG-OP-210906V307,10,29,REL,1424,720,2.00,267.9160,267.9320,320,2.00
SP1A.210812.003,SP1A.210812.003 release-keys,2111i,2111,k65v1_64_bsp,vivo,vivo,V2111,unknown,mt6765,user,release-keys,vivo/2111i/2111:12/SP1A.210812.003/compiler08191845:user/release-keys,compiler,comsz01110061,compiler08191845,12,31,REL,1475,720,1.88,269.2100,269.2100,300,1.88
RP1A.201005.001,RMX3231_11.A.93,RMX3231,RMX3231,RMX3231,realme,realme,RMX3231,unknown,RMX3231,user,release-keys,realme/RMX3231/RMX3231:11/RP1A.201005.001/1664086489070:user/release-keys,zhangminmin_hq,ubuntu16-29-248,375,11,30,REL,1448,720,2.00,268.9410,269.1390,320,2.00
SP1A.210812.003,CPH2251_11_C.33,CPH2251,OP4F83L1,k6877v1_64,OPPO,OPPO,CPH2251,unknown,mt6877,user,release-keys,OPPO/CPH2251/OP4F83L1:12/SP1A.210812.003/R.202207041534:user/release-keys,root,dg02-pool03-kvm255,R.202207041534,12,31,REL,2153,1080,3.00,409.4320,409.1270,480,3.00
HUAWEIMAR-L21H,MAR-L21H 10.0.0.267(C10E3R1P1),MAR-LX1HRU,HWMAR,MAR,HUAWEI,HONOR,MAR-LX1H,unknown,kirin710,user,release-keys,HONOR/MAR-LX1HRU/HWMAR:10/HUAWEIMAR-L21H/10.0.0.267C10:user/release-keys,test,cn-central-1b-b46f373f01595993031497-3988816887-4wn26,10.0.0.267C10,10,29,REL,2107,1080,3.38,415.6360,416.4870,540,4.89
PPR1.180610.011,CPH2015EX_11_A.59,CPH2015,OP4C7D,oppo6765_19581,OPPO,OPPO,CPH2015,unknown,mt6765,user,release-keys,OPPO/CPH2015/OP4C7D:9/PPR1.180610.011/1636944387:user/release-keys,root,Ubuntu-134-12,1636961543,9,28,REL,1456,720,2.00,268.9410,269.1390,320,2.00
RSR1.210210.001.A1,sdk_phone_x86-userdebug 11 RSR1.210210.001.A1 7193139 dev-keys,sdk_phone_x86,generic_x86,goldfish_x86,unknown,Android,Android SDK built for x86,unknown,ranchu,userdebug,dev-keys,Android/sdk_phone_x86/generic_x86:11/RSR1.210210.001.A1/7193139:userdebug/dev-keys,android-build,abfarm-east4-071,7193139,11,30,REL,2088,1080,2.75,440.0000,440.0000,440,2.75
HUAWEISTK-L21,STK-L21MDV 10.0.0.274(C185E3R3P1),STK-L21MDV,HWSTK-HF,STK-L21MDV,HUAWEI,HUAWEI,STK-L21,unknown,kirin710,user,release-keys,HUAWEI/STK-L21MDV/HWSTK-HF:10/HUAWEISTK-L21/10.0.0.274C185:user/release-keys,test,cn-central-1b-ea69152e91596071562952-3077798529-s3v8n,10.0.0.274C185,10,29,REL,2224,1080,3.00,391.8850,391.0260,480,3.00
QKR1.191246.002,QKR1.191246.002,IN2023,OnePlus8Pro,cutf,OnePlus,OnePlus,OnePlus8Pro,unknown,sunfish,user,release-keys,OnePlus/IN2023/OnePlus8Pro:11/QKR1.191246.002/2006701342:user/release-keys,jenkins,ubuntu-10,2006701342,11,30,REL,448,288,0.66,106.0000,106.0000,106,0.66
